Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price,Mileage_Group
BMW,X5,2006,1.8,Diesel,Semi-Automatic,48144,4,5,6737,Low Mileage
Ford,Focus,2002,2.5,Electric,Manual,50314,4,4,8193,Low Mileage
Mercedes,GLA,2002,2.2,Diesel,Automatic,5020,4,5,8299,Low Mileage
Audi,A4,2002,4.4,Diesel,Automatic,81512,3,3,8969,Medium Mileage
Hyundai,Tucson,2013,4.7,Diesel,Semi-Automatic,254167,4,4,7616,Very High Mileage
BMW,3 Series,2020,3.5,Diesel,Semi-Automatic,232400,4,1,8952,Very High Mileage
Volkswagen,Tiguan,2023,2.0,Petrol,Automatic,128626,5,1,11927,Medium Mileage
Hyundai,Elantra,2010,4.9,Diesel,Semi-Automatic,133554,4,3,9328,Medium Mileage
Chevrolet,Malibu,2015,2.8,Petrol,Semi-Automatic,225481,2,3,6890,Very High Mileage
Mercedes,GLA,2022,5.0,Petrol,Automatic,211047,4,2,12979,High Mileage
Kia,Rio,2006,2.0,Electric,Semi-Automatic,49359,4,4,8912,Low Mileage
Mercedes,GLA,2000,2.1,Hybrid,Semi-Automatic,26663,2,1,6666,Low Mileage
Ford,Fiesta,2018,4.9,Electric,Manual,183575,4,2,12728,High Mileage
Honda,Civic,2006,2.2,Petrol,Semi-Automatic,297485,4,3,2150,Very High Mileage
Toyota,Camry,2002,4.4,Petrol,Semi-Automatic,265879,3,5,3782,Very High Mileage
Mercedes,GLA,2017,1.9,Electric,Semi-Automatic,5233,2,5,12995,Low Mileage
Audi,Q5,2009,4.0,Electric,Manual,265479,4,5,7490,Very High Mileage
Toyota,Corolla,2005,2.8,Electric,Manual,138032,3,4,7639,Medium Mileage
Chevrolet,Malibu,2023,2.0,Hybrid,Manual,160084,2,4,10798,High Mileage
Toyota,Corolla,2008,3.1,Hybrid,Automatic,34423,3,3,11411,Low Mileage
Mercedes,GLA,2000,2.7,Electric,Semi-Automatic,116677,2,2,6466,Medium Mileage
Volkswagen,Golf,2014,1.1,Petrol,Semi-Automatic,113145,3,5,7137,Medium Mileage
Volkswagen,Passat,2002,1.7,Electric,Semi-Automatic,264575,4,1,3108,Very High Mileage
BMW,5 Series,2003,3.6,Petrol,Automatic,240657,2,2,5286,Very High Mileage
Volkswagen,Tiguan,2006,2.4,Petrol,Automatic,154960,3,1,6700,High Mileage
Hyundai,Elantra,2017,2.4,Hybrid,Automatic,140689,4,5,11286,Medium Mileage
Ford,Explorer,2005,4.0,Hybrid,Semi-Automatic,228725,4,2,6025,Very High Mileage
Chevrolet,Malibu,2020,2.0,Diesel,Automatic,183441,4,3,9931,High Mileage
Mercedes,E-Class,2003,2.3,Hybrid,Automatic,117694,3,3,7446,Medium Mileage
Mercedes,GLA,2003,1.9,Diesel,Semi-Automatic,138278,5,2,4134,Medium Mileage
Toyota,RAV4,2008,4.5,Diesel,Automatic,203634,3,2,8427,High Mileage
Mercedes,C-Class,2007,1.7,Petrol,Semi-Automatic,255059,5,2,2798,Very High Mileage
Hyundai,Sonata,2014,1.9,Petrol,Semi-Automatic,253678,5,2,5126,Very High Mileage
Chevrolet,Equinox,2021,4.3,Hybrid,Automatic,189655,5,2,13406,High Mileage
Toyota,RAV4,2020,4.0,Hybrid,Automatic,224676,2,4,12106,Very High Mileage
BMW,X5,2018,3.3,Diesel,Semi-Automatic,151881,2,2,9762,High Mileage
Toyota,Corolla,2008,2.0,Hybrid,Manual,210592,5,4,5288,High Mileage
Ford,Focus,2007,1.6,Petrol,Semi-Automatic,244812,3,4,2903,Very High Mileage
BMW,5 Series,2011,2.9,Electric,Automatic,270773,5,5,8384,Very High Mileage
BMW,3 Series,2016,3.8,Petrol,Manual,196371,4,4,8772,High Mileage
Hyundai,Elantra,2004,3.4,Hybrid,Automatic,90326,4,3,9393,Medium Mileage
Volkswagen,Tiguan,2004,2.0,Hybrid,Manual,47929,2,1,7341,Low Mileage
Audi,A4,2010,1.7,Diesel,Manual,260904,5,3,3581,Very High Mileage
Ford,Fiesta,2011,2.3,Electric,Automatic,254220,3,2,8115,Very High Mileage
Honda,CR-V,2014,2.5,Petrol,Semi-Automatic,47829,2,3,9843,Low Mileage
Ford,Explorer,2009,1.5,Petrol,Manual,4339,5,4,8213,Low Mileage
Kia,Sportage,2022,3.4,Diesel,Automatic,68508,2,2,14229,Low Mileage
Ford,Focus,2006,2.8,Electric,Automatic,282433,2,4,6551,Very High Mileage
Toyota,Corolla,2018,1.1,Electric,Manual,156396,3,2,9472,High Mileage
Mercedes,E-Class,2011,1.5,Hybrid,Semi-Automatic,173761,3,5,6424,High Mileage
Hyundai,Elantra,2020,1.8,Hybrid,Manual,7887,2,2,12742,Low Mileage
Ford,Focus,2010,1.5,Hybrid,Semi-Automatic,86892,2,5,7862,Medium Mileage
Volkswagen,Passat,2017,1.8,Diesel,Manual,37685,2,1,10246,Low Mileage
Audi,A3,2003,4.2,Hybrid,Semi-Automatic,188952,5,3,6420,High Mileage
Kia,Sportage,2015,3.1,Diesel,Automatic,256058,3,3,8078,Very High Mileage
Kia,Optima,2008,4.5,Petrol,Manual,246080,5,1,6078,Very High Mileage
Chevrolet,Equinox,2001,1.7,Electric,Automatic,103088,4,4,7538,Medium Mileage
Ford,Explorer,2022,1.3,Petrol,Semi-Automatic,102092,3,4,9958,Medium Mileage
Honda,Civic,2001,3.9,Petrol,Manual,85459,5,2,6590,Medium Mileage
Audi,A4,2020,4.0,Electric,Automatic,85954,5,1,15880,Medium Mileage
Mercedes,GLA,2005,4.5,Petrol,Automatic,89422,2,1,9811,Medium Mileage
Toyota,Camry,2007,1.6,Diesel,Manual,67080,3,2,6458,Low Mileage
Mercedes,GLA,2007,3.4,Diesel,Automatic,275042,5,4,5599,Very High Mileage
Volkswagen,Tiguan,2004,4.9,Hybrid,Manual,220473,2,1,6790,High Mileage
Ford,Fiesta,2005,1.8,Electric,Manual,13353,5,4,9132,Low Mileage
BMW,3 Series,2007,4.9,Hybrid,Manual,40316,2,5,11293,Low Mileage
Audi,A4,2015,4.9,Petrol,Manual,213995,5,5,9220,High Mileage
Audi,A4,2002,2.1,Electric,Manual,249454,2,4,3810,Very High Mileage
Honda,Accord,2017,1.3,Electric,Semi-Automatic,179848,3,3,8903,High Mileage
Kia,Rio,2019,4.9,Hybrid,Manual,42389,4,2,14852,Low Mileage
Honda,CR-V,2003,2.9,Petrol,Automatic,63886,3,1,8122,Low Mileage
Chevrolet,Malibu,2013,2.1,Petrol,Manual,100047,2,4,8099,Medium Mileage
Mercedes,E-Class,2009,3.7,Petrol,Semi-Automatic,24132,3,1,10017,Low Mileage
BMW,5 Series,2019,4.3,Electric,Manual,187276,2,5,12354,High Mileage
Chevrolet,Impala,2020,4.9,Diesel,Manual,100441,2,4,12991,Medium Mileage
Volkswagen,Tiguan,2015,1.9,Hybrid,Manual,163910,5,5,8221,High Mileage
Volkswagen,Tiguan,2021,4.1,Diesel,Automatic,37195,4,5,15256,Low Mileage
Audi,A3,2014,2.7,Hybrid,Automatic,143682,5,2,10626,Medium Mileage
Hyundai,Elantra,2010,3.3,Electric,Automatic,292576,3,2,8048,Very High Mileage
Volkswagen,Tiguan,2020,2.2,Diesel,Automatic,34617,4,5,13107,Low Mileage
Toyota,Corolla,2018,2.6,Hybrid,Automatic,17983,3,3,14240,Low Mileage
BMW,5 Series,2019,4.8,Hybrid,Automatic,165434,4,5,13791,High Mileage
Kia,Sportage,2008,4.8,Hybrid,Semi-Automatic,72579,4,2,10848,Low Mileage
Ford,Focus,2017,3.6,Electric,Semi-Automatic,154486,3,3,11710,High Mileage
Chevrolet,Malibu,2012,1.8,Electric,Manual,213510,2,1,7229,High Mileage
Ford,Focus,2011,3.5,Diesel,Manual,191624,4,5,7067,High Mileage
Chevrolet,Equinox,2022,3.1,Hybrid,Semi-Automatic,233710,4,4,10125,Very High Mileage
Toyota,Corolla,2004,3.5,Petrol,Manual,213763,4,3,4524,High Mileage
BMW,3 Series,2012,3.2,Petrol,Manual,106364,3,4,8772,Medium Mileage
Kia,Optima,2016,1.8,Petrol,Manual,84202,3,1,9015,Medium Mileage
Kia,Sportage,2012,1.3,Petrol,Semi-Automatic,75977,3,5,7480,Medium Mileage
Ford,Focus,2023,4.1,Electric,Automatic,230235,5,3,13995,Very High Mileage
Mercedes,C-Class,2015,2.9,Electric,Manual,203225,3,2,9435,High Mileage
Audi,A4,2002,1.9,Diesel,Manual,207014,3,5,2459,High Mileage
BMW,X5,2023,2.2,Diesel,Manual,280936,4,2,7581,Very High Mileage
Chevrolet,Impala,2021,2.9,Petrol,Manual,28402,4,3,12731,Low Mileage
Ford,Fiesta,2014,1.6,Petrol,Manual,238558,5,3,5128,Very High Mileage
Chevrolet,Equinox,2007,1.9,Electric,Manual,203009,3,3,6039,High Mileage
Kia,Optima,2017,1.0,Electric,Manual,217816,4,5,7843,High Mileage
Hyundai,Elantra,2008,1.3,Electric,Manual,56405,5,3,8671,Low Mileage
Toyota,RAV4,2000,2.4,Diesel,Manual,157208,4,2,3355,High Mileage
Audi,A3,2001,3.2,Diesel,Semi-Automatic,159856,4,3,4402,High Mileage
Ford,Explorer,2016,4.6,Diesel,Automatic,59450,2,5,13811,Low Mileage
BMW,5 Series,2013,1.3,Electric,Automatic,34820,3,4,12103,Low Mileage
Volkswagen,Golf,2016,1.0,Electric,Semi-Automatic,211578,3,2,7668,High Mileage
Kia,Optima,2013,4.5,Petrol,Semi-Automatic,150515,2,2,9489,High Mileage
Honda,Accord,2006,1.9,Petrol,Semi-Automatic,112805,2,3,5543,Medium Mileage
Hyundai,Sonata,2004,2.9,Hybrid,Semi-Automatic,250475,3,1,4190,Very High Mileage
Hyundai,Sonata,2009,2.5,Electric,Manual,148855,5,2,8322,Medium Mileage
Chevrolet,Impala,2009,2.4,Petrol,Manual,18036,4,2,8839,Low Mileage
Audi,A4,2020,3.5,Hybrid,Semi-Automatic,132329,2,2,11953,Medium Mileage
Toyota,Corolla,2018,3.0,Diesel,Manual,228362,5,2,7932,Very High Mileage
Toyota,RAV4,2014,2.4,Hybrid,Automatic,131822,2,1,10563,Medium Mileage
Audi,A4,2023,2.6,Diesel,Automatic,62285,2,5,13854,Low Mileage
Ford,Focus,2008,2.0,Electric,Automatic,202191,5,1,7956,High Mileage
BMW,3 Series,2015,3.7,Hybrid,Semi-Automatic,94816,5,2,11403,Medium Mileage
Mercedes,E-Class,2019,3.7,Diesel,Automatic,143171,4,2,12136,Medium Mileage
Volkswagen,Passat,2007,4.4,Electric,Semi-Automatic,5568,2,3,12488,Low Mileage
Hyundai,Sonata,2016,4.8,Hybrid,Manual,1064,2,1,14678,Low Mileage
Honda,Civic,2013,1.7,Electric,Semi-Automatic,83367,3,4,10032,Medium Mileage
Hyundai,Elantra,2005,4.3,Electric,Semi-Automatic,130852,4,4,9282,Medium Mileage
Honda,CR-V,2019,2.5,Electric,Automatic,262723,4,5,10545,Very High Mileage
Audi,Q5,2009,4.7,Diesel,Manual,239901,2,2,6701,Very High Mileage
Volkswagen,Golf,2008,2.8,Petrol,Semi-Automatic,19835,5,1,8903,Low Mileage
Chevrolet,Impala,2015,1.3,Diesel,Automatic,282191,2,4,5756,Very High Mileage
Hyundai,Sonata,2008,2.0,Electric,Semi-Automatic,61418,2,1,9271,Low Mileage
Hyundai,Sonata,2007,1.4,Diesel,Semi-Automatic,40965,3,1,6780,Low Mileage
Honda,CR-V,2001,2.8,Hybrid,Automatic,282319,2,2,4053,Very High Mileage
BMW,3 Series,2016,4.8,Hybrid,Automatic,93677,3,3,14326,Medium Mileage
Honda,Civic,2018,1.9,Diesel,Automatic,182852,2,4,9242,High Mileage
Toyota,Camry,2022,4.0,Petrol,Automatic,66018,4,5,14879,Low Mileage
Audi,A3,2013,4.6,Hybrid,Semi-Automatic,264204,3,2,8315,Very High Mileage
BMW,5 Series,2011,2.9,Diesel,Semi-Automatic,267798,5,4,4944,Very High Mileage
Volkswagen,Tiguan,2014,4.4,Hybrid,Semi-Automatic,200804,3,2,9683,High Mileage
Kia,Optima,2002,4.5,Diesel,Manual,261006,3,5,3979,Very High Mileage
Volkswagen,Tiguan,2022,2.1,Diesel,Semi-Automatic,1906,4,5,12761,Low Mileage
Ford,Fiesta,2000,2.2,Diesel,Manual,151812,4,3,3263,High Mileage
Mercedes,C-Class,2011,3.5,Diesel,Manual,133153,4,4,8236,Medium Mileage
Hyundai,Sonata,2010,2.5,Electric,Automatic,55812,3,5,11983,Low Mileage
Volkswagen,Tiguan,2002,3.0,Diesel,Semi-Automatic,175153,5,5,4196,High Mileage
Ford,Fiesta,2002,2.1,Petrol,Semi-Automatic,256425,3,5,2000,Very High Mileage
Chevrolet,Equinox,2020,3.4,Petrol,Semi-Automatic,151481,4,3,10470,High Mileage
Ford,Explorer,2014,3.8,Diesel,Semi-Automatic,164325,3,4,8813,High Mileage
Audi,A4,2004,3.1,Petrol,Manual,184871,5,1,4702,High Mileage
Mercedes,C-Class,2012,1.7,Petrol,Manual,46963,5,2,8460,Low Mileage
Chevrolet,Equinox,2023,4.8,Petrol,Semi-Automatic,144096,4,4,12918,Medium Mileage
Audi,Q5,2000,4.8,Diesel,Automatic,189164,4,2,6616,High Mileage
Ford,Fiesta,2010,4.8,Electric,Semi-Automatic,233196,2,1,9236,Very High Mileage
Mercedes,GLA,2022,4.5,Diesel,Automatic,19165,2,5,16316,Low Mileage
Mercedes,E-Class,2017,1.7,Diesel,Manual,231532,5,4,6269,Very High Mileage
Chevrolet,Equinox,2010,4.4,Diesel,Automatic,152466,2,1,9950,High Mileage
Kia,Rio,2003,2.2,Electric,Semi-Automatic,180863,5,3,5582,High Mileage
BMW,X5,2013,4.0,Diesel,Automatic,151734,2,3,10465,High Mileage
Kia,Rio,2011,1.7,Diesel,Semi-Automatic,64106,3,2,7817,Low Mileage
Volkswagen,Tiguan,2011,2.4,Electric,Manual,229655,3,1,7206,Very High Mileage
Volkswagen,Tiguan,2015,3.2,Petrol,Semi-Automatic,204013,4,5,7719,High Mileage
Volkswagen,Tiguan,2009,1.0,Diesel,Automatic,208583,4,1,5128,High Mileage
Honda,Civic,2002,4.7,Electric,Semi-Automatic,61535,3,4,10169,Low Mileage
Mercedes,GLA,2011,3.2,Hybrid,Semi-Automatic,176930,5,2,8061,High Mileage
Audi,A3,2019,2.6,Petrol,Semi-Automatic,49817,5,2,11403,Low Mileage
Kia,Rio,2017,1.4,Diesel,Semi-Automatic,212576,2,3,6348,High Mileage
Ford,Focus,2008,2.6,Diesel,Manual,272185,3,4,3656,Very High Mileage
Hyundai,Tucson,2001,3.2,Petrol,Manual,214674,4,2,3306,High Mileage
BMW,3 Series,2012,2.5,Diesel,Automatic,252115,2,3,6657,Very High Mileage
Audi,Q5,2019,1.5,Petrol,Manual,285575,4,2,5588,Very High Mileage
BMW,3 Series,2002,4.7,Diesel,Manual,87544,3,1,7649,Medium Mileage
Toyota,RAV4,2004,1.1,Diesel,Automatic,35570,3,4,7188,Low Mileage
Toyota,Camry,2011,2.5,Electric,Semi-Automatic,109008,3,4,9719,Medium Mileage
Audi,A3,2006,1.2,Hybrid,Manual,163168,2,2,4836,High Mileage
BMW,X5,2014,3.5,Electric,Semi-Automatic,87181,5,5,12056,Medium Mileage
Audi,A3,2005,4.8,Petrol,Automatic,240527,5,1,7089,Very High Mileage
Honda,Civic,2013,1.4,Electric,Automatic,192393,4,2,9052,High Mileage
Volkswagen,Tiguan,2010,1.7,Diesel,Manual,206335,3,3,4673,High Mileage
Toyota,Camry,2018,2.2,Diesel,Semi-Automatic,183658,5,5,8026,High Mileage
Audi,A4,2009,4.9,Petrol,Manual,132063,2,1,9058,Medium Mileage
Toyota,Corolla,2014,1.0,Petrol,Automatic,223635,3,5,6327,Very High Mileage
Ford,Fiesta,2019,3.6,Diesel,Manual,260280,3,5,8194,Very High Mileage
Toyota,RAV4,2004,5.0,Hybrid,Manual,132068,5,1,8658,Medium Mileage
BMW,X5,2007,1.5,Petrol,Semi-Automatic,181250,4,2,4075,High Mileage
Audi,A4,2017,2.2,Electric,Automatic,205295,4,1,10794,High Mileage
Ford,Fiesta,2005,3.0,Hybrid,Manual,144199,2,4,6716,Medium Mileage
Ford,Focus,2008,3.5,Hybrid,Manual,284000,4,3,5320,Very High Mileage
BMW,5 Series,2002,2.3,Petrol,Semi-Automatic,180395,3,4,3392,High Mileage
Hyundai,Sonata,2003,3.5,Diesel,Semi-Automatic,97355,3,3,6552,Medium Mileage
Ford,Explorer,2008,4.9,Diesel,Semi-Automatic,92827,2,5,9543,Medium Mileage
Mercedes,E-Class,2004,2.3,Electric,Automatic,235443,5,2,6391,Very High Mileage
Ford,Explorer,2017,2.0,Petrol,Semi-Automatic,68000,5,4,9840,Low Mileage
Ford,Explorer,2001,1.6,Diesel,Automatic,89796,4,3,5704,Medium Mileage
Hyundai,Sonata,2020,4.7,Petrol,Semi-Automatic,186954,5,2,11060,High Mileage
Toyota,RAV4,2001,4.5,Diesel,Semi-Automatic,210371,5,1,4692,High Mileage
Mercedes,E-Class,2002,2.5,Electric,Manual,49187,2,3,8216,Low Mileage
Mercedes,E-Class,2017,2.5,Petrol,Automatic,44142,4,2,12317,Low Mileage
Volkswagen,Passat,2010,1.6,Hybrid,Automatic,255550,5,4,6089,Very High Mileage
Mercedes,E-Class,2008,2.3,Petrol,Semi-Automatic,150136,2,1,5797,High Mileage
Ford,Fiesta,2011,3.0,Diesel,Automatic,126817,2,4,9363,Medium Mileage
Ford,Explorer,2017,4.1,Electric,Automatic,268157,3,5,11436,Very High Mileage
Audi,Q5,2020,5.0,Diesel,Automatic,56508,3,3,15469,Low Mileage
Kia,Optima,2002,4.4,Electric,Automatic,83927,2,3,10921,Medium Mileage
Mercedes,E-Class,2015,4.3,Hybrid,Automatic,218104,3,1,11037,High Mileage
Ford,Fiesta,2016,3.6,Hybrid,Semi-Automatic,271745,4,5,8065,Very High Mileage
Kia,Sportage,2010,1.5,Diesel,Semi-Automatic,215696,5,4,4286,High Mileage
Mercedes,E-Class,2020,1.3,Hybrid,Manual,201528,5,2,8369,High Mileage
Mercedes,GLA,2021,4.8,Diesel,Automatic,181278,2,4,13074,High Mileage
Hyundai,Sonata,2014,2.0,Diesel,Manual,222492,4,3,5850,High Mileage
Audi,A3,2004,4.0,Diesel,Automatic,126911,5,3,8261,Medium Mileage
Volkswagen,Tiguan,2005,4.9,Electric,Manual,195620,3,2,8587,High Mileage
Hyundai,Tucson,2001,2.7,Petrol,Semi-Automatic,177686,3,2,3546,High Mileage
Chevrolet,Impala,2008,4.0,Electric,Manual,229386,3,2,7912,Very High Mileage
Audi,A4,2023,1.8,Diesel,Semi-Automatic,60422,2,1,11591,Low Mileage
Honda,Accord,2011,3.3,Diesel,Automatic,281236,2,2,6575,Very High Mileage
Hyundai,Elantra,2015,1.6,Petrol,Automatic,202711,3,1,7645,High Mileage
Hyundai,Tucson,2019,2.1,Petrol,Manual,280632,3,1,6287,Very High Mileage
Toyota,Camry,2003,3.9,Electric,Semi-Automatic,182192,4,4,7256,High Mileage
Kia,Rio,2018,3.3,Petrol,Semi-Automatic,27157,5,3,12256,Low Mileage
BMW,3 Series,2000,5.0,Petrol,Semi-Automatic,199363,5,1,5112,High Mileage
Kia,Rio,2022,4.9,Petrol,Manual,6863,2,1,15462,Low Mileage
Volkswagen,Golf,2014,3.4,Diesel,Automatic,89526,5,3,11409,Medium Mileage
Toyota,Camry,2019,3.5,Hybrid,Automatic,96903,5,2,13861,Medium Mileage
Honda,CR-V,2001,4.0,Hybrid,Automatic,35704,5,3,10185,Low Mileage
Toyota,RAV4,2014,3.5,Hybrid,Semi-Automatic,161187,3,4,9576,High Mileage
Audi,Q5,2009,3.5,Electric,Manual,76449,4,2,10771,Medium Mileage
Audi,A3,2001,3.9,Petrol,Manual,19843,3,4,7903,Low Mileage
BMW,5 Series,2000,1.2,Hybrid,Manual,103614,2,4,4227,Medium Mileage
Kia,Sportage,2005,3.4,Hybrid,Manual,256607,2,2,4867,Very High Mileage
Ford,Explorer,2013,1.4,Diesel,Automatic,204333,5,1,6813,High Mileage
BMW,X5,2019,3.2,Petrol,Manual,283521,3,1,7329,Very High Mileage
Kia,Optima,2023,2.7,Electric,Manual,201672,3,4,11666,High Mileage
Audi,A3,2022,1.5,Electric,Semi-Automatic,222668,4,3,9746,High Mileage
Mercedes,E-Class,2001,2.6,Diesel,Manual,43761,5,5,6124,Low Mileage
Honda,CR-V,2001,4.7,Petrol,Automatic,59718,2,2,9405,Low Mileage
Honda,Accord,2006,1.1,Hybrid,Automatic,14039,2,2,9219,Low Mileage
Chevrolet,Equinox,2013,1.6,Hybrid,Manual,141716,4,5,7765,Medium Mileage
Toyota,Corolla,2022,2.4,Diesel,Semi-Automatic,104599,2,5,11008,Medium Mileage
Chevrolet,Malibu,2017,1.9,Hybrid,Manual,282278,3,5,6454,Very High Mileage
Volkswagen,Passat,2001,2.5,Electric,Semi-Automatic,210985,3,5,4680,High Mileage
Hyundai,Sonata,2002,2.1,Hybrid,Automatic,79025,5,5,7719,Medium Mileage
Hyundai,Sonata,2022,3.0,Electric,Automatic,52689,2,1,16146,Low Mileage
Honda,Accord,2018,4.0,Hybrid,Semi-Automatic,184080,3,4,10818,High Mileage
Kia,Sportage,2007,2.8,Diesel,Manual,185683,5,2,5286,High Mileage
Volkswagen,Golf,2018,4.6,Electric,Automatic,237720,4,4,12845,Very High Mileage
Ford,Focus,2018,4.0,Electric,Manual,6098,4,5,15378,Low Mileage
BMW,5 Series,2005,4.3,Electric,Automatic,272769,4,1,7944,Very High Mileage
Volkswagen,Golf,2007,2.9,Electric,Manual,13144,2,4,10837,Low Mileage
Mercedes,C-Class,2023,4.2,Petrol,Manual,18248,2,5,14835,Low Mileage
BMW,3 Series,2007,2.8,Hybrid,Manual,238724,3,2,5225,Very High Mileage
Chevrolet,Equinox,2003,2.6,Diesel,Semi-Automatic,286590,3,4,2000,Very High Mileage
Honda,Accord,2011,4.2,Electric,Semi-Automatic,291049,4,2,7779,Very High Mileage
Volkswagen,Golf,2006,2.3,Petrol,Automatic,163052,3,4,6438,High Mileage
Ford,Fiesta,2018,4.7,Electric,Manual,8898,3,5,16022,Low Mileage
Audi,A3,2004,3.9,Petrol,Automatic,228725,2,5,6125,Very High Mileage
Mercedes,C-Class,2016,2.1,Petrol,Semi-Automatic,8126,4,3,10837,Low Mileage
Mercedes,E-Class,2009,4.2,Diesel,Semi-Automatic,221870,2,4,6562,High Mileage
Ford,Fiesta,2021,4.0,Hybrid,Automatic,133334,5,1,14233,Medium Mileage
Ford,Fiesta,2006,4.4,Hybrid,Automatic,276855,5,2,7262,Very High Mileage
Honda,CR-V,2003,4.6,Electric,Manual,162129,2,2,8357,High Mileage
Chevrolet,Malibu,2022,4.4,Hybrid,Manual,62734,5,1,14845,Low Mileage
BMW,X5,2008,2.4,Petrol,Automatic,2880,3,4,10342,Low Mileage
Chevrolet,Malibu,2016,2.9,Petrol,Manual,10380,5,2,11592,Low Mileage
Kia,Sportage,2003,4.4,Electric,Automatic,173173,4,1,9436,High Mileage
Audi,A4,2010,1.1,Electric,Manual,13601,3,1,9927,Low Mileage
Audi,A4,2012,4.4,Hybrid,Automatic,57938,3,3,13441,Low Mileage
Chevrolet,Equinox,2011,3.8,Hybrid,Automatic,122142,5,2,11257,Medium Mileage
Hyundai,Tucson,2011,4.7,Diesel,Semi-Automatic,51514,2,2,11069,Low Mileage
Kia,Sportage,2018,3.0,Diesel,Manual,116209,5,2,10175,Medium Mileage
Honda,Accord,2020,2.9,Petrol,Semi-Automatic,125825,3,5,10483,Medium Mileage
Hyundai,Tucson,2003,3.1,Diesel,Semi-Automatic,235029,5,2,3399,Very High Mileage
Kia,Rio,2013,2.1,Electric,Automatic,61878,5,4,12362,Low Mileage
Audi,Q5,2009,2.7,Electric,Manual,62039,3,2,10259,Low Mileage
Honda,CR-V,2019,3.3,Petrol,Automatic,15599,5,3,14288,Low Mileage
Honda,Civic,2019,4.9,Electric,Automatic,73887,2,4,16722,Low Mileage
BMW,5 Series,2006,2.5,Diesel,Semi-Automatic,232088,3,3,3758,Very High Mileage
BMW,3 Series,2017,1.7,Electric,Manual,166412,3,1,9571,High Mileage
Chevrolet,Malibu,2018,1.7,Petrol,Automatic,70260,5,4,11294,Low Mileage
Kia,Optima,2006,3.0,Diesel,Manual,110232,2,3,6695,Medium Mileage
Hyundai,Sonata,2016,3.6,Petrol,Automatic,228179,5,3,9436,Very High Mileage
Audi,A4,2020,3.2,Hybrid,Automatic,220296,2,5,11394,High Mileage
Toyota,RAV4,2003,3.5,Electric,Automatic,15300,4,5,11694,Low Mileage
Kia,Rio,2016,4.1,Diesel,Semi-Automatic,234176,2,2,8316,Very High Mileage
Chevrolet,Equinox,2007,4.9,Diesel,Automatic,247098,5,5,7658,Very High Mileage
Chevrolet,Equinox,2015,1.7,Electric,Automatic,55038,4,2,12699,Low Mileage
Ford,Fiesta,2015,1.2,Electric,Manual,178698,5,3,8226,High Mileage
Toyota,Camry,2002,4.0,Hybrid,Manual,239428,5,1,4911,Very High Mileage
Volkswagen,Tiguan,2003,1.1,Hybrid,Automatic,75829,2,3,7083,Medium Mileage
BMW,X5,2013,1.4,Hybrid,Semi-Automatic,72172,3,4,8956,Low Mileage
Mercedes,E-Class,2022,4.7,Petrol,Manual,286738,2,3,9665,Very High Mileage
Ford,Focus,2008,4.7,Electric,Semi-Automatic,45559,3,1,12288,Low Mileage
Volkswagen,Golf,2001,2.7,Petrol,Automatic,155536,5,3,5489,High Mileage
Mercedes,C-Class,2017,3.3,Hybrid,Semi-Automatic,141231,3,1,10675,Medium Mileage
Chevrolet,Equinox,2013,3.3,Electric,Automatic,184018,4,3,11119,High Mileage
Volkswagen,Tiguan,2014,2.2,Electric,Semi-Automatic,229476,5,3,7910,Very High Mileage
Ford,Fiesta,2011,1.4,Hybrid,Semi-Automatic,151995,3,1,6760,High Mileage
Kia,Sportage,2011,1.9,Hybrid,Manual,191680,2,4,6466,High Mileage
Volkswagen,Passat,2005,4.9,Electric,Manual,464,3,3,12490,Low Mileage
Toyota,RAV4,2012,1.1,Petrol,Semi-Automatic,159339,2,4,5613,High Mileage
Toyota,RAV4,2015,4.6,Diesel,Manual,13395,5,5,12932,Low Mileage
Chevrolet,Impala,2018,2.0,Diesel,Automatic,27151,4,2,12456,Low Mileage
Ford,Explorer,2016,1.5,Diesel,Automatic,72633,2,4,10447,Low Mileage
Toyota,RAV4,2016,4.0,Hybrid,Automatic,137486,2,5,12650,Medium Mileage
Toyota,Corolla,2005,3.1,Diesel,Automatic,115517,2,1,7889,Medium Mileage
Ford,Fiesta,2005,2.1,Hybrid,Automatic,79897,5,3,8602,Medium Mileage
Audi,A4,2012,3.7,Diesel,Automatic,51665,2,3,11866,Low Mileage
BMW,3 Series,2017,1.4,Electric,Manual,3410,4,1,12531,Low Mileage
Honda,CR-V,2010,1.3,Hybrid,Semi-Automatic,113673,2,2,7126,Medium Mileage
Honda,Accord,2012,3.6,Hybrid,Semi-Automatic,299818,2,1,6303,Very High Mileage
Ford,Focus,2005,3.3,Diesel,Semi-Automatic,166957,5,3,5560,High Mileage
Toyota,RAV4,2021,4.8,Diesel,Manual,104524,2,3,13109,Medium Mileage
Hyundai,Sonata,2013,4.2,Electric,Automatic,233376,5,1,11032,Very High Mileage
BMW,3 Series,2019,1.9,Diesel,Semi-Automatic,248734,2,2,6725,Very High Mileage
Mercedes,E-Class,2002,2.8,Diesel,Manual,218885,5,1,3122,High Mileage
Ford,Explorer,2005,2.7,Hybrid,Semi-Automatic,241335,5,3,4473,Very High Mileage
Toyota,RAV4,2008,3.9,Diesel,Automatic,61794,3,5,10664,Low Mileage
